basicName,subTitleName,rating,openDate,openTime,closeDate,closeTime,recommendStayTime,address,price,label,review,url,img
TSUTAYA BOOKSTORE Nangang,TSUTAYA BOOKSTORE 南港店, 4.8/5,"['Friday-Saturday:', 'Monday-Thursday,Sunday:']","['8:30-22:00', '8:30-21:30']",N/A,N/A,1-2 hours,"No. 369, Section 7, Zhongxiao East Road, Nangang District, Taipei City",Free,,"Shaowu Bookstore TSUTAYA BOOKSTORE. The largest and most beautiful bookstore in Taiwan, covering an area of 500 pings, with the theme of BOOK&CAFE living proposal, the space planning design is not only wider and more comfortable, but also more beautiful and more yuan! In addition to combining the WIRED CHAYA tea house and wind catering brands of CAF COMANY in Japan, more Taiwan local brands Louisa Coffee Luisa coffee, and Taiwan herbal tea brand Xiaocao to create a new store-based bookstore. In addition, the Nangang store not only provides more seats, so that the reading time is more comfortable, but also designs to create a variety of surprise reading space, its comfort and comfort level is simply a bunch of unlimited time, no service fee, WIFI, socket coffee shop, What's better is that it also lets you read for free and see fullness and no low consumption! ! !",https://www.trip.com/travel-guide/attraction/taipei/tsutaya-bookstore-nangang-79181531?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/01A2c1200094ziead4D98_C_180_240_Q70.webp?proc=source%2ftrip
Yucheng Park,玉成公園, 4.6/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"Zhongpo South Road, Nangang District, Taipei City, Taiwan 115",Free,,"Very suitable for walking park, there is a basketball court and swimming pool on the other side, and the other side is like a forest.",https://www.trip.com/travel-guide/attraction/taipei/yucheng-park-24654320?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0102c120009anjqc844DC_C_180_240_Q70.webp?proc=source%2ftrip
Baoqing Park,寶清公園, 4.3/5,['Open daily'],['Open all day'],N/A,N/A,20 minute,"Songshan District, Taipei City, Taiwan 105",Free,,"Baoqing Park is not very big, but it is located in the downtown area, and there are still a lot of people in the park. The park is very beautiful and lush with birds and flowers. Like many parks in Taiwan, there are also many fitness facilities in the park.",https://www.trip.com/travel-guide/attraction/taipei/baoqing-park-24648743?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/010071200098tb9q926A4_C_180_240_Q70.webp?proc=source%2ftrip
"Wenzhou Street,",溫州街, 4.3/5,['N/A'],['N/A'],N/A,N/A,1-2 hours,"Da’an District, Taipei City, 106",Free,,"Wenzhou Street, which has been visiting since the evening, is still very interesting. The houses are not very new. There are floor shops along the street on both sides, various restaurants, individual shops, and bars. A street with a taste.",https://www.trip.com/travel-guide/attraction/taipei/wenzhou-street-13384470?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g3/M03/67/90/CggYGVY7GuKAJYRZACbHIpWTxk8407_C_180_240_Q70.webp?proc=source%2ftrip
Huayin St,台灣台北市華陰街, 4.6/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"Taipei City, Taiwan",Free,,"It is also the film and television dramas, so it has become a holy place for people to check in now. Huayin Street actually feels more distinctive. I like to walk around here and experience the life of local residents.",https://www.trip.com/travel-guide/attraction/taipei/huayin-st-24650436?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww3v12000chigwsc7647_C_180_240_Q70.webp?proc=source%2ftrip
Cianshuei Bay,淺水灣海濱公園, 4.6/5,['Open daily'],['Open all day'],N/A,N/A,1-2 hours,"Cianshueiwan St., Sanjhih Dist, New Taipei 252, Taiwan",Free,,"The English name of Repulse Bay is said to have originated from a Royal British warship that used to be stationed in the bay to prevent pirates, meaning ""repel"". Repulse Bay has been famous for a long time. The venue for the two high-handed fighting methods in the classic work of famous novelist Zhang Ailing in modern times, ""Love in the City"", is the Repulse Bay Hotel.",https://www.trip.com/travel-guide/attraction/new-taipei-city/cianshuei-bay-10539757?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0103t120009flzgpnC2D9_C_180_240_Q70.webp?proc=source%2ftrip
Maokong Jhangshu Trail,貓空樟樹步道, 4.4/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"Wenshan District, Taipei City, Taiwan 116",Free,,"The elm trail is a pedestrian trail on the top of the catkong mountain, and you can see signs near the cable car station. The trail is well repaired, flat, easy to walk, and the slope is not big. There are several specialty restaurants near the entrance on both sides of the trail, and the small rural-style house is very nice. The scenery on both sides of the trail is good, and there are large tea gardens. The air on the top of the mountain is also good.",https://www.trip.com/travel-guide/attraction/taipei/maokong-jhangshu-trail-22846562?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g3/M0A/0E/F1/CggYGVZUfAKAdyKzAAKOF4oxiog642_C_180_240_Q70.webp?proc=source%2ftrip
Rainbow Brg,彩虹橋, 4.6/5,['Open daily'],['Open all day'],N/A,N/A,1 hour,"Taipei City, Taiwan",Free,,"Xikou Wharf - Songshan area was in Qianlong years, the ancient name of ""Xikou"". Located at the water gate of Songhe Street, Xikou Ferry, since ancient times, it has been the place of north-south commerce and goods distribution. It was the beginning port of the essence of Xikou culture development in Songshan area. In 2009, the Taipei Municipal Government completed the construction of the tinkou pier to extend the blue road route, and renovated the surrounding shore protection and water trails, and connected the pedestrian trail between the tinkou pier and the evacuation gate of base 4. The pier is close to the Rainbow Bridge, Songshan Cixi Palace, Raohe Night Market and other special attractions.",https://www.trip.com/travel-guide/attraction/taipei/rainbow-brg-13425906?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10070h00000094ggh5A50_C_180_240_Q70.webp?proc=source%2ftrip
tai bei wen shan sen lin gong yuan,台北文山森林公園,N/A,['Open daily'],['Open all day'],N/A,N/A,N/A,116台北市文山區景豐街80號,Free,,N/A,https://www.trip.com/travel-guide/attraction/taipei/city-140604226?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0101e2234bo0satbk60B5_C_180_240_Q70.webp?proc=source%2ftrip
Donghe Temple,東和禪寺, 4.3/5,['Open daily'],['6:00-17:30'],N/A,N/A,N/A,"No. 21-33, Section 1, Ren'ai Road, Zhongzheng District, Taipei City",Free,,"Donghe Temple Guanyin Temple - Guanyin Temple located next to the East Gate of Taipei City, built in 1914, is the remnant of Cao Dongzong two main mountain Taiwan courtyards. The temple layout is a three-housing building, with red brick walls, black tile roofs, stone brick floors and so on. The mountain gate and the internal algae well have long-term and five-seven-square home grains and temple grains. The structure is typical of Taiwan's lifting beams (less columns, thick beams), and piercing (more columns, fine beams). In order to attract local Taiwanese believers, in addition to the Zen Hall, a special building was built, and even a Chinese stone lion was displayed at the door.",https://www.trip.com/travel-guide/attraction/taipei/donghe-temple-24165177?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106012000a5c5kpa6EF3_C_180_240_Q70.webp?proc=source%2ftrip
Qingtian 76,青田七六, 4.4/5,['Open daily'],['09:30-21:00'],N/A,N/A,1-2 hours,"No.6, Ln. 7, Qingtian St., Da'an Dist, Taipei 10649, Taiwan",Free,,"Qingtian 76 - Located at No. 6, 7 Lane, Qingtian Street, Taipei City, so it is also known as ""Qingtian 76"". This area is the most concentrated place of Japanese-style historical residence ""camp house"". In 1931, Professor Azuliren built the residence. The whole building is mainly built with teak wood. The left side of the house is the docking room. The study hall and canteen, with bookcases, glass windows, outdoor European flower beds and vestibules all in Western style, while the bedroom and sub-supply on the right side of the house are designed with Japanese tatami mats, and the whole building combines the advantages of Japanese and Western architecture. In 1945, he was moved in by his friend, Professor Ma Tingying, Department of Geology, Taiwan University, and in 2006 was officially listed as a monument by the municipal government.",https://www.trip.com/travel-guide/attraction/taipei/qingtian-76-24652252?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100m0u000000jcf0eD7D1_C_180_240_Q70.webp?proc=source%2ftrip
